Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"PI","Producer Price Indices - Annual","19","Bolivia (Plurinational State of)","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2014","277.64","Fc","Calculated data"
"PI","Producer Price Indices - Annual","21","Brazil","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1991","0.01","Fc","Calculated data"
"PI","Producer Price Indices - Annual","21","Brazil","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1992","0.05","Fc","Calculated data"
"PI","Producer Price Indices - Annual","21","Brazil","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1993","1.06","Fc","Calculated data"
"PI","Producer Price Indices - Annual","21","Brazil","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1994","24.28","Fc","Calculated data"
"PI","Producer Price Indices - Annual","21","Brazil","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1995","33.57","Fc","Calculated data"
"PI","Producer Price Indices - Annual","21","Brazil","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1996","39.26","Fc","Calculated data"
"PI","Producer Price Indices - Annual","21","Brazil","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1997","43.62","Fc","Calculated data"
"PI","Producer Price Indices - Annual","21","Brazil","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1998","54.62","Fc","Calculated data"
"PI","Producer Price Indices - Annual","21","Brazil","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1999","54.06","Fc","Calculated data"
"PI","Producer Price Indices - Annual","21","Brazil","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2000","47.23","Fc","Calculated data"
